# 4 out of 4 mutations
# 1 tree
3 #edges, tree 2
1 2
1 3
1 4
1 #anatomical sites
2 #samples
4 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	R	0	1	0.36	0.36
0	R1	0	R	1	2	0.2918117647058823	0.2918117647058823
0	R1	0	R	2	3	0.0	0.0
0	R1	0	R	3	4	0.06818823529411766	0.06818823529411766
1	R2	0	R	0	1	0.296607476635514	0.296607476635514
1	R2	0	R	1	2	0.0	0.0
1	R2	0	R	2	3	0.11645454545454545	0.11645454545454545
1	R2	0	R	3	4	0.0	0.0
