# 6 out of 6 mutations
# 1 tree
5 #edges, tree 3
4 5
1 4
4 3
3 6
5 2
1 #anatomical sites
2 #samples
6 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	R	0	1	0.3981632653061224	0.3981632653061224
0	R1	0	R	1	2	0.08121739130434785	0.08121739130434785
0	R1	0	R	2	3	0.029714285714285717	0.029714285714285717
0	R1	0	R	3	4	0.3981632653061224	0.3981632653061224
0	R1	0	R	4	5	0.36844897959183665	0.36844897959183665
0	R1	0	R	5	6	0.029714285714285717	0.029714285714285717
1	R2	0	R	0	1	0.48739999999999994	0.48739999999999994
1	R2	0	R	1	2	0.0	0.0
1	R2	0	R	2	3	0.11270000000000001	0.11270000000000001
1	R2	0	R	3	4	0.11270000000000001	0.11270000000000001
1	R2	0	R	4	5	0.0	0.0
1	R2	0	R	5	6	0.07980000000000001	0.07980000000000001
