# 6 out of 6 mutations
# 1 tree
5 #edges, tree 2
1 3
4 5
1 4
3 6
5 2
1 #anatomical sites
2 #samples
6 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	R	0	1	0.4	0.4
0	R1	0	R	1	2	0.08121739130434785	0.08121739130434785
0	R1	0	R	2	3	0.0207272727272728	0.0207272727272728
0	R1	0	R	3	4	0.3792727272727272	0.3792727272727272
0	R1	0	R	4	5	0.3792727272727272	0.3792727272727272
0	R1	0	R	5	6	0.0207272727272728	0.0207272727272728
1	R2	0	R	0	1	0.48739999999999994	0.48739999999999994
1	R2	0	R	1	2	0.001065217391304348	0.001065217391304348
1	R2	0	R	2	3	0.14553	0.14553
1	R2	0	R	3	4	0.11270000000000001	0.11270000000000001
1	R2	0	R	4	5	0.001065217391304348	0.001065217391304348
1	R2	0	R	5	6	0.07980000000000001	0.07980000000000001
