# 5 out of 5 mutations
# 1 tree
4 #edges, tree 1
1 2
1 3
2 4
3 5
1 #anatomical sites
2 #samples
5 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	R	0	1	0.52	0.52
0	R1	0	R	1	2	0.44417454545454543	0.44417454545454543
0	R1	0	R	2	3	0.07582545454545456	0.07582545454545456
0	R1	0	R	3	4	0.12925714285714282	0.12925714285714282
0	R1	0	R	4	5	0.006240000000000001	0.006240000000000001
1	R2	0	R	0	1	0.19674213836477988	0.19674213836477988
1	R2	0	R	1	2	0.0004727272727272729	0.0004727272727272729
1	R2	0	R	2	3	0.18165517241379314	0.18165517241379314
1	R2	0	R	3	4	0.0	0.0
1	R2	0	R	4	5	0.1752	0.1752
