# 7 out of 7 mutations
# 2 tree
6 #edges, tree 1
1 2
1 3
1 6
1 9
9 4
3 5
6 #edges, tree 2
1 2
1 3
1 4
1 6
1 9
3 5
1 #anatomical sites
4 #samples
7 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	A_0	0	A	0	1	0.9988566552901024	0.9988566552901024
0	A_0	0	A	1	2	0.63875	0.63875
0	A_0	0	A	2	3	0.0	0.0
0	A_0	0	A	3	4	0.0022222222222222222	0.0022222222222222222
0	A_0	0	A	4	5	0.01	0.01
0	A_0	0	A	5	6	0.017272727272727273	0.017272727272727273
0	A_0	0	A	6	9	0.057777777777777775	0.057777777777777775
1	A_1	0	A	0	1	0.9990102389078498	0.9990102389078498
1	A_1	0	A	1	2	0.06916666666666667	0.06916666666666667
1	A_1	0	A	2	3	0.038571428571428576	0.038571428571428576
1	A_1	0	A	3	4	0.008888888888888889	0.008888888888888889
1	A_1	0	A	4	5	0.01	0.01
1	A_1	0	A	5	6	0.31	0.31
1	A_1	0	A	6	9	0.013333333333333334	0.013333333333333334
2	A_2	0	A	0	1	0.9991467576791809	0.9991467576791809
2	A_2	0	A	1	2	0.004583333333333333	0.004583333333333333
2	A_2	0	A	2	3	0.9704761904761905	0.9704761904761905
2	A_2	0	A	3	4	0.003888888888888889	0.003888888888888889
2	A_2	0	A	4	5	0.29874999999999996	0.29874999999999996
2	A_2	0	A	5	6	0.0009090909090909091	0.0009090909090909091
2	A_2	0	A	6	9	0.01	0.01
3	A_3	0	A	0	1	0.9995392491467576	0.9995392491467576
3	A_3	0	A	1	2	0.0	0.0
3	A_3	0	A	2	3	0.0	0.0
3	A_3	0	A	3	4	0.2922222222222222	0.2922222222222222
3	A_3	0	A	4	5	0.0	0.0
3	A_3	0	A	5	6	0.0	0.0
3	A_3	0	A	6	9	0.7477777777777778	0.7477777777777778
