# 7 out of 7 mutations
# 2 tree
6 #edges, tree 1
1 3
7 6
7 4
6 2
1 7
3 5
6 #edges, tree 2
1 3
7 6
7 4
1 5
6 2
1 7
1 #anatomical sites
3 #samples
7 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	A_0	0	A	0	1	1.0	1.0
0	A_0	0	A	1	2	0.3336764705882353	0.3336764705882353
0	A_0	0	A	2	3	0.00022222222222222223	0.00022222222222222223
0	A_0	0	A	3	4	0.004210526315789474	0.004210526315789474
0	A_0	0	A	4	5	0.0025	0.0025
0	A_0	0	A	5	6	0.8654545454545455	0.8654545454545455
0	A_0	0	A	6	7	0.841	0.841
1	A_1	0	A	0	1	1.0	1.0
1	A_1	0	A	1	2	0.0	0.0
1	A_1	0	A	2	3	0.8573333333333333	0.8573333333333333
1	A_1	0	A	3	4	0.0	0.0
1	A_1	0	A	4	5	0.189	0.189
1	A_1	0	A	5	6	0.0009090909090909091	0.0009090909090909091
1	A_1	0	A	6	7	0.01	0.01
2	A_2	0	A	0	1	0.9999714285714286	0.9999714285714286
2	A_2	0	A	1	2	0.003823529411764706	0.003823529411764706
2	A_2	0	A	2	3	0.00022222222222222223	0.00022222222222222223
2	A_2	0	A	3	4	0.4321052631578947	0.4321052631578947
2	A_2	0	A	4	5	0.005	0.005
2	A_2	0	A	5	6	0.03636363636363636	0.03636363636363636
2	A_2	0	A	6	7	0.8119999999999999	0.8119999999999999
