# 5 out of 5 mutations
# 2 tree
4 #edges, tree 1
1 2
1 3
2 4
3 5
4 #edges, tree 2
1 2
1 3
3 4
3 5
1 #anatomical sites
2 #samples
5 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	A_0	0	A	0	1	0.9781132075471698	0.9781132075471698
0	A_0	0	A	1	2	0.8541818181818182	0.8541818181818182
0	A_0	0	A	2	3	0.24275862068965517	0.24275862068965517
0	A_0	0	A	3	4	0.24857142857142855	0.24857142857142855
0	A_0	0	A	4	5	0.012	0.012
1	A_1	0	A	0	1	0.9837106918238994	0.9837106918238994
1	A_1	0	A	1	2	0.0023636363636363638	0.0023636363636363638
1	A_1	0	A	2	3	0.9082758620689656	0.9082758620689656
1	A_1	0	A	3	4	0.0	0.0
1	A_1	0	A	4	5	0.876	0.876
