"sample","gamma","trees","kstar","fn","num_df","mutations","aml_id","total_cells"
0,0.75,4,129,0.0492337662337662,1,5,"AML-14-001",7053
0,0.95,4,278,0.0492337662337662,1,5,"AML-14-001",7053
0,0.75,57,209,0.0492337662337662,1,6,"AML-22-001",2925
0,0.95,57,402,0.0492337662337662,1,6,"AML-22-001",2925
0,0.75,24,306,0.0492337662337662,1,5,"AML-26-001",9601
0,0.95,24,590,0.0492337662337662,1,5,"AML-26-001",9601
0,0.75,2,78,0.0492337662337662,1,3,"AML-29-001",7795
0,0.95,2,169,0.0492337662337662,1,3,"AML-29-001",7795
0,0.75,2,83,0.0492337662337662,1,3,"AML-30-001",6668
0,0.95,2,178,0.0492337662337662,1,3,"AML-30-001",6668
0,0.75,2,7,0.0492337662337662,1,4,"AML-32-001",8241
0,0.95,2,14,0.0492337662337662,1,4,"AML-32-001",8241
0,0.75,2,246,0.0492337662337662,1,3,"AML-36-001",8153
0,0.95,2,531,0.0492337662337662,1,3,"AML-36-001",8153
0,0.75,316,366,0.0492337662337662,1,8,"AML-38-001",7235
0,0.95,316,692,0.0492337662337662,1,8,"AML-38-001",7235
0,0.75,6,56,0.0492337662337662,1,4,"AML-39-001",6735
0,0.95,6,120,0.0492337662337662,1,4,"AML-39-001",6735
0,0.75,8,451,0.0492337662337662,1,5,"AML-04-001",5878
0,0.95,8,973,0.0492337662337662,1,5,"AML-04-001",5878
0,0.75,2,60,0.0492337662337662,1,3,"AML-40-001",6194
0,0.95,2,128,0.0492337662337662,1,3,"AML-40-001",6194
0,0.75,89,413,0.0492337662337662,1,7,"AML-41-001",5082
0,0.95,89,863,0.0492337662337662,1,7,"AML-41-001",5082
0,0.75,2,125,0.0492337662337662,1,3,"AML-42-001",2252
0,0.95,2,270,0.0492337662337662,1,3,"AML-42-001",2252
0,0.75,2,29,0.0492337662337662,1,3,"AML-45-001",7716
0,0.95,2,62,0.0492337662337662,1,3,"AML-45-001",7716
0,0.75,6,396,0.0492337662337662,1,4,"AML-05-001",10191
0,0.95,6,730,0.0492337662337662,1,4,"AML-05-001",10191
0,0.75,2,216,0.0492337662337662,1,3,"AML-51-001",8219
0,0.95,2,467,0.0492337662337662,1,3,"AML-51-001",8219
0,0.75,2,41,0.0492337662337662,1,3,"AML-59-001",2662
0,0.95,2,88,0.0492337662337662,1,3,"AML-59-001",2662
0,0.75,2,64,0.0492337662337662,1,4,"AML-61-001",4340
0,0.95,2,138,0.0492337662337662,1,4,"AML-61-001",4340
0,0.75,2,9,0.0492337662337662,1,3,"AML-62-001",4027
0,0.95,2,20,0.0492337662337662,1,3,"AML-62-001",4027
0,0.75,3,225,0.0492337662337662,1,4,"AML-64-001",4999
0,0.95,3,486,0.0492337662337662,1,4,"AML-64-001",4999
0,0.75,2,21,0.0492337662337662,1,5,"AML-67-001",6024
0,0.95,2,44,0.0492337662337662,1,5,"AML-67-001",6024
0,0.75,2,202,0.0492337662337662,1,3,"AML-69-001",7462
0,0.95,2,436,0.0492337662337662,1,3,"AML-69-001",7462
0,0.75,2,20,0.0492337662337662,1,3,"AML-75-001",6073
0,0.95,2,42,0.0492337662337662,1,3,"AML-75-001",6073
0,0.75,3,196,0.0492337662337662,1,4,"AML-76-001",8033
0,0.95,3,423,0.0492337662337662,1,4,"AML-76-001",8033
