"folder","sim","scopit_star","scopit_true","kstar","scopit_worst_ratio","scopit_best_ratio"
"sim1a","n7_S1_k1_F.tsv_trees.txt",2139,60,48,44.5625,1.25
"sim1a","n7_S10_k1_F.tsv_trees.txt",440,65,58,7.58620689655172,1.12068965517241
"sim1a","n7_S100_k1_F.tsv_trees.txt",3744,59,46,81.3913043478261,1.28260869565217
"sim1a","n7_S11_k1_F.tsv_trees.txt",446,60,50,8.92,1.2
"sim1a","n7_S12_k1_F.tsv_trees.txt",343,61,49,7,1.24489795918367
"sim1a","n7_S13_k1_F.tsv_trees.txt",133,61,58,2.29310344827586,1.05172413793103
"sim1a","n7_S14_k1_F.tsv_trees.txt",1663,60,35,47.5142857142857,1.71428571428571
"sim1a","n7_S15_k1_F.tsv_trees.txt",665,71,39,17.0512820512821,1.82051282051282
"sim1a","n7_S16_k1_F.tsv_trees.txt",132,70,25,5.28,2.8
"sim1a","n7_S17_k1_F.tsv_trees.txt",2139,37,32,66.84375,1.15625
"sim1a","n7_S18_k1_F.tsv_trees.txt",1545,59,43,35.9302325581395,1.37209302325581
"sim1a","n7_S19_k1_F.tsv_trees.txt",150,56,46,3.26086956521739,1.21739130434783
"sim1a","n7_S2_k1_F.tsv_trees.txt",2995,62,34,88.0882352941177,1.82352941176471
"sim1a","n7_S20_k1_F.tsv_trees.txt",1996,55,39,51.1794871794872,1.41025641025641
"sim1a","n7_S21_k1_F.tsv_trees.txt",93,65,52,1.78846153846154,1.25
"sim1a","n7_S22_k1_F.tsv_trees.txt",132,66,53,2.49056603773585,1.24528301886792
"sim1a","n7_S23_k1_F.tsv_trees.txt",339,65,52,6.51923076923077,1.25
"sim1a","n7_S24_k1_F.tsv_trees.txt",544,44,23,23.6521739130435,1.91304347826087
"sim1a","n7_S25_k1_F.tsv_trees.txt",384,61,26,14.7692307692308,2.34615384615385
"sim1a","n7_S26_k1_F.tsv_trees.txt",373,59,50,7.46,1.18
"sim1a","n7_S27_k1_F.tsv_trees.txt",29956,53,44,680.818181818182,1.20454545454545
"sim1a","n7_S28_k1_F.tsv_trees.txt",105,49,19,5.52631578947368,2.57894736842105
"sim1a","n7_S29_k1_F.tsv_trees.txt",2995,54,28,106.964285714286,1.92857142857143
