# 4 out of 4 mutations
# 2 tree
3 #edges, tree 1
1 2
1 3
2 4
3 #edges, tree 2
1 2
1 3
1 4
1 #anatomical sites
2 #samples
4 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	A_0	0	A	0	1	0.9876635514018691	0.9876635514018691
0	A_0	0	A	1	2	0.8105882352941176	0.8105882352941176
0	A_0	0	A	2	3	0.0009090909090909091	0.0009090909090909091
0	A_0	0	A	3	4	0.3	0.3
1	A_1	0	A	0	1	0.9886915887850467	0.9886915887850467
1	A_1	0	A	1	2	0.0	0.0
1	A_1	0	A	2	3	0.3881818181818182	0.3881818181818182
1	A_1	0	A	3	4	0.0	0.0
