# 6 out of 6 mutations
# 1 tree
5 #edges, tree 1
1 2
1 3
1 4
1 5
3 6
1 #anatomical sites
4 #samples
6 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	R	0	1	0.839898795180723	0.839898795180723
0	R1	0	R	1	2	0.0	0.0
0	R1	0	R	2	3	0.0	0.0
0	R1	0	R	3	4	0.0	0.0
0	R1	0	R	4	5	0.11256000000000001	0.11256000000000001
0	R1	0	R	5	6	0.0	0.0
1	R2	0	R	0	1	0.8397216867469879	0.8397216867469879
1	R2	0	R	1	2	0.0	0.0
1	R2	0	R	2	3	0.7538999999999999	0.7538999999999999
1	R2	0	R	3	4	0.0	0.0
1	R2	0	R	4	5	0.0	0.0
1	R2	0	R	5	6	0.16296	0.16296
2	R3	0	R	0	1	0.859689156626506	0.859689156626506
2	R3	0	R	1	2	0.12040000000000001	0.12040000000000001
2	R3	0	R	2	3	0.015050000000000001	0.015050000000000001
2	R3	0	R	3	4	0.0	0.0
2	R3	0	R	4	5	0.0172	0.0172
2	R3	0	R	5	6	0.01376	0.01376
3	R4	0	R	0	1	0.8499231927710842	0.8499231927710842
3	R4	0	R	1	2	0.0	0.0
3	R4	0	R	2	3	0.0	0.0
3	R4	0	R	3	4	0.8245	0.8245
3	R4	0	R	4	5	0.0	0.0
3	R4	0	R	5	6	0.0	0.0
