# 4 out of 4 mutations
# 1 tree
3 #edges, tree 1
4 2
4 3
1 4
1 #anatomical sites
3 #samples
4 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	R	0	1	0.16675740740740744	0.16675740740740744
0	R1	0	R	1	2	0.10461538461538462	0.10461538461538462
0	R1	0	R	2	3	0.0	0.0
0	R1	0	R	3	4	0.12325	0.12325
1	R2	0	R	0	1	0.19665740740740742	0.19665740740740742
1	R2	0	R	1	2	0.05246153846153846	0.05246153846153846
1	R2	0	R	2	3	0.07028571428571428	0.07028571428571428
1	R2	0	R	3	4	0.17566666666666667	0.17566666666666667
2	R3	0	R	0	1	0.16416805555555555	0.16416805555555555
2	R3	0	R	1	2	0.06381538461538462	0.06381538461538462
2	R3	0	R	2	3	0.008742857142857144	0.008742857142857144
2	R3	0	R	3	4	0.12778333333333336	0.12778333333333336
