# 6 out of 6 mutations
# 2 tree
5 #edges, tree 1
1 2
1 3
1 4
1 5
3 6
5 #edges, tree 2
1 2
1 3
1 4
1 5
1 6
1 #anatomical sites
4 #samples
6 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	A_0	0	A	0	1	0.9998795180722891	0.9998795180722891
0	A_0	0	A	1	2	0.0	0.0
0	A_0	0	A	2	3	0.0	0.0
0	A_0	0	A	3	4	0.0	0.0
0	A_0	0	A	4	5	0.134	0.134
0	A_0	0	A	5	6	0.0	0.0
1	A_1	0	A	0	1	0.9996686746987952	0.9996686746987952
1	A_1	0	A	1	2	0.0	0.0
1	A_1	0	A	2	3	0.8975	0.8975
1	A_1	0	A	3	4	0.0	0.0
1	A_1	0	A	4	5	0.0	0.0
1	A_1	0	A	5	6	0.194	0.194
2	A_2	0	A	0	1	0.9996385542168674	0.9996385542168674
2	A_2	0	A	1	2	0.14	0.14
2	A_2	0	A	2	3	0.0175	0.0175
2	A_2	0	A	3	4	0.0	0.0
2	A_2	0	A	4	5	0.02	0.02
2	A_2	0	A	5	6	0.016	0.016
3	A_3	0	A	0	1	0.9999096385542169	0.9999096385542169
3	A_3	0	A	1	2	0.0	0.0
3	A_3	0	A	2	3	0.0	0.0
3	A_3	0	A	3	4	0.97	0.97
3	A_3	0	A	4	5	0.0	0.0
3	A_3	0	A	5	6	0.0	0.0
